Fold,Modelo,MAE,RMSE,R2
1,Baseline promedio,2.905482692718869,3.78126718578442,-0.010110037150219409
1,Ridge Regression,2.838092357066336,3.76220640026805,4.791407704574091e-05
1,Random Forest,2.7111512490230933,3.8283986499800915,-0.03544792868274005
1,Gradient Boosting,2.831838017525487,3.9972572695965884,-0.12880300500865105
1,HistGradientBoosting,3.2145982719287285,4.350817579416868,-0.3373211222636794
2,Baseline promedio,2.9015430271421434,3.546684737969652,-0.008187112927718676
2,Ridge Regression,3.135212013891527,3.614964789048805,-0.047379604251843066
2,Random Forest,3.748994819164065,4.275426897135326,-0.46505841008888615
2,Gradient Boosting,3.9685781554464694,4.533779171692212,-0.6474668917660389
2,HistGradientBoosting,4.309257573547842,4.9095151097792895,-0.9318489738422793
3,Baseline promedio,2.755516840882697,3.5187058833309504,-0.05155275632900613
3,Ridge Regression,3.261204318277847,4.3722071788247705,-0.6235534757564527
3,Random Forest,2.803827526320458,3.7384927785129136,-0.18702051256559504
3,Gradient Boosting,2.95968744840538,4.056148320127368,-0.3973100622492187
3,HistGradientBoosting,3.1422541571174496,4.26998829190556,-0.5485259949599193
4,Baseline promedio,2.646671165174111,3.2813411412088036,-3.460898571927551e-05
4,Ridge Regression,2.686354752979351,3.339282316244855,-0.03566318373666455
4,Random Forest,2.6755080882311777,3.497226636759566,-0.13595157470424413
4,Gradient Boosting,2.5908568382933934,3.3116130489040994,-0.01857129575925809
4,HistGradientBoosting,2.9346837771333574,3.9928118841568603,-0.4807098376621539
5,Baseline promedio,2.99662898066958,3.8812198242045963,-0.12048585342770735
5,Ridge Regression,2.8121480678025845,3.722165262083618,-0.03053132880159959
5,Random Forest,3.0130089105442646,4.030764277617995,-0.20849455454774724
5,Gradient Boosting,3.0626447022047927,4.070388149916125,-0.23237121672980687
5,HistGradientBoosting,3.4311748246769445,4.564753625251382,-0.5499032189108861
